Facility ID,CMS ID,Twitter Handle,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services
Clarion Hospital,390093,,ONE HOSPITAL DRIVE,CLARION,PA,16214,CLARION,(814) 226-9500,Acute Care Hospitals,Voluntary non-profit - Other,Yes
St Joseph Medical Center,390096,,2500 BERNVILLE ROAD,READING,PA,19605,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
Holy Redeemer Hospital And Medical Center,390097,,1648 HUNTINGDON PIKE,MEADOWBROOK,PA,19046,MONTGOMERY,(215) 947-3000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
Lancaster General Hospital,390100,,555 NORTH DUKE STREET,LANCASTER,PA,17604,LANCASTER,(717) 299-5511,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Upmc Memorial,390101,,1701 INNOVATION DRIVE,YORK,PA,17408,YORK,(717) 843-8623,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc St Margaret,390102,,815 FREEPORT ROAD,PITTSBURGH,PA,15215,ALLEGHENY,(412) 784-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Kane,390104,,4372 ROUTE 6,KANE,PA,16735,MCKEAN,(814) 837-8585,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Passavant,390107,,9100 BABCOCK BOULEVARD,PITTSBURGH,PA,15237,ALLEGHENY,(412) 367-6700,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Conemaugh Memorial Medical Center,390110,,1086 FRANKLIN STREET,JOHNSTOWN,PA,15905,CAMBRIA,(814) 534-9000,Acute Care Hospitals,Proprietary,Yes
Hospital Of Univ Of Pennsylvania,390111,,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 662-3227,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Chan Soon- Shiong Medical Center At Windber,390112,,600 SOMERSET AVENUE,WINDBER,PA,15963,SOMERSET,(814) 467-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Meadville Medical Center,390113,,751 LIBERTY STREET,MEADVILLE,PA,16335,CRAWFORD,(814) 333-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Magee Womens Hospital Of Upmc Health System,390114,,300 HALKET STREET,PITTSBURGH,PA,15213,ALLEGHENY,(412) 641-4010,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Aria Health,390115,,10800 KNIGHTS ROAD,PHILADELPHIA,PA,19114,PHILADELPHIA,(215) 612-4129,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Suburban Community Hospital,390116,,2701DEKALB PIKE,NORRISTOWN,PA,19401,MONTGOMERY,(215) 278-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Bedford Memorial,390117,,10455 LINCOLN HIGHWAY,EVERETT,PA,15537,BEDFORD,(814) 623-6161,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Moses Taylor Hospital,390119,,700 QUINCY AVENUE,SCRANTON,PA,18510,LACKAWANNA,(570) 340-2100,Acute Care Hospitals,Proprietary,Yes
Pottstown Hospital,390123,,1600 EAST HIGH STREET,POTTSTOWN,PA,19464,MONTGOMERY,(610) 327-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Wayne Memorial Hospital,390125,,601 PARK STREET,HONESDALE,PA,18431,WAYNE,(570) 253-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Phoenixville Hospital,390127,,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,Yes
Conemaugh Miners Medical Center,390130,,290 HAIDA AVENUE,HASTINGS,PA,16646,CAMBRIA,(814) 247-3100,Acute Care Hospitals,Proprietary,Yes
Lehigh Valley Hospital,390133,,1200 SOUTH CEDAR CREST BOULEVARD,ALLENTOWN,PA,18105,LEHIGH,(610) 402-2273,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Wilkes-Barre General Hospital,390137,,575 NORTH RIVER STREET,WILKES-BARRE,PA,18764,LUZERNE,(570) 829-8111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Waynesboro Hospital,390138,,501 EAST MAIN ST,WAYNESBORO,PA,17268,FRANKLIN,(717) 765-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Main Line Hospital Bryn Mawr Campus,390139,,130 SOUTH BRYN MAWR AVE,BRYN MAWR,PA,19010,MONTGOMERY,(610) 526-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Albert Einstein Medical Center,390142,,5501 OLD YORK ROAD,PHILADELPHIA,PA,19141,PHILADELPHIA,(215) 456-6090,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Excela Health Westmoreland Hospital,390145,,532 WEST PITTSBURGH STREET,GREENSBURG,PA,15601,WESTMORELAND,(724) 832-4000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Warren General Hospital,390146,,TWO CRESCENT PARK WEST,WARREN,PA,16365,WARREN,(814) 723-3300,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Monongahela Valley Hospital,390147,,1163 COUNTRY CLUB ROAD,MONONGAHELA,PA,15063,WASHINGTON,(724) 258-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Washington Health System Greene,390150,,350 BONAR AVENUE,WAYNESBURG,PA,15370,GREENE,(724) 627-2602,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Chambersburg Hospital,390151,,112 NORTH SEVENTH STREET,CHAMBERSBURG,PA,17201,FRANKLIN,(717) 267-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Paoli Hospital,390153,,255 WEST LANCASTER AVENUE,PAOLI,PA,19301,CHESTER,(610) 648-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Mercy Catholic Medical Center- Mercy Fitzgerald,390156,,1500 LANSDOWNE  AVE,DARBY,PA,19023,DELAWARE,(215) 237-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Ohio Valley General Hospital,390157,,25 HECKEL ROAD,MCKEES ROCKS,PA,15136,ALLEGHENY,(412) 777-6161,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Canonsburg General Hospital,390160,,100 MEDICAL BOULEVARD,CANONSBURG,PA,15317,WASHINGTON,(724) 873-5892,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Easton Hospital,390162,,250 SOUTH 21ST STREET,EASTON,PA,18042,NORTHAMPTON,(610) 250-4076,Acute Care Hospitals,Proprietary,Yes
Acmh Hospital,390163,,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,(724) 543-8500,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Presbyterian Shadyside,390164,,200 LOTHROP STREET,PITTSBURGH,PA,15213,ALLEGHENY,(412) 647-8788,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Butler Memorial Hospital,390168,,ONE HOSPITAL WAY,BUTLER,PA,16001,BUTLER,(724) 283-6666,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Indiana Regional Medical Center,390173,,835 HOSPITAL ROAD,INDIANA,PA,15701,INDIANA,(724) 357-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Thomas Jefferson University Hospital,390174,,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 955-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Horizon,390178,,110 NORTH MAIN STREET,GREENVILLE,PA,16125,MERCER,(724) 588-2100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Chester County Hospital,390179,,701 EAST MARSHALL STREET,WEST CHESTER,PA,19380,CHESTER,(610) 431-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Crozer Chester Medical Center,390180,,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,(610) 447-2000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
St Luke'S Miners Memorial Hospital,390183,,360 W RUDDLE STREET,COALDALE,PA,18218,SCHUYLKILL,(570) 645-2131,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Highlands Hospital,390184,,401 EAST MURPHY AVENUE,CONNELLSVILLE,PA,15425,FAYETTE,(724) 628-1500,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Lehigh Valley Hospital - Hazleton,390185,,700 EAST BROAD STREET,HAZLETON,PA,18201,LUZERNE,(570) 501-4000,Acute Care Hospitals,Government - Local,Yes
Tyler Memorial Hospital,390192,,5950 STATE ROUTE 6 WEST,TUNKHANNOCK,PA,18657,WYOMING,(570) 836-2161,Acute Care Hospitals,Proprietary,Yes
St Luke'S Hospital-Gnaden Huetten Campus,390194,,211 NORTH 12TH STREET,LEHIGHTON,PA,18235,CARBON,(607) 377-1300,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Main Line Hospital Lankenau,390195,,100 LANCASTER AVE,WYNNEWOOD,PA,19096,MONTGOMERY,(610) 645-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Sacred Heart Hospital,390197,,421 CHEW STREET,ALLENTOWN,PA,18102,LEHIGH,(610) 776-4900,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Millcreek Community Hospital,390198,,5515 PEACH STREET,ERIE,PA,16509,ERIE,(814) 864-4031,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Punxsutawney Area Hospital,390199,,81 HILLCREST DRIVE,PUNXSUTAWNEY,PA,15767,JEFFERSON,(814) 938-1800,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Lehigh Valley Hospital - Pocono,390201,,206 EAST BROWN STREET,EAST STROUDSBURG,PA,18301,MONROE,(570) 421-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Doylestown Hospital,390203,,595 WEST STATE ST,DOYLESTOWN,PA,18901,BUCKS,(215) 345-2200,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Nazareth Hospital,390204,,2601 HOLME AVE,PHILADELPHIA,PA,19152,PHILADELPHIA,(215) 335-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Sharon Regional Health System,390211,,740 EAST STATE STREET,SHARON,PA,16146,MERCER,(724) 983-3800,Acute Care Hospitals,Proprietary,Yes
Excela Health Frick Hospital,390217,,508 SOUTH CHURCH STREET,MOUNT PLEASANT,PA,15666,WESTMORELAND,(724) 547-1500,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Excela Health Latrobe Hospital,390219,,ONE MELLON WAY,LATROBE,PA,15650,WESTMORELAND,(724) 537-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Jennersville Hospital,390220,,1015 WEST BALTIMORE PIKE,WEST GROVE,PA,19390,CHESTER,(610) 869-1000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Riddle Memorial Hospital,390222,,1068 WEST BALTIMORE PIKE,MEDIA,PA,19063,DELAWARE,(610) 566-9400,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Penn Presbyterian Medical Center,390223,,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 662-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Wellspan Ephrata Community Hospital,390225,,169 MARTIN AVENUE,EPHRATA,PA,17522,LANCASTER,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Pennsylvania Hospital,390226,,800 SPRUCE STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 829-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
St Clair Hospital,390228,,1000 BOWER HILL ROAD,PITTSBURGH,PA,15243,ALLEGHENY,(412) 942-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Abington Memorial Hospital,390231,,1200 OLD YORK ROAD,ABINGTON,PA,19001,MONTGOMERY,(215) 481-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Pinnacle Hanover,390233,,300 HIGHLAND AVE,HANOVER,PA,17331,YORK,(717) 637-3711,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Guthrie Towanda Memorial Hospital,390236,,91 HOSPITAL DRIVE,TOWANDA,PA,18848,BRADFORD,(570) 265-2191,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Regional Hospital Of Scranton,390237,,746 JEFFERSON AVENUE,SCRANTON,PA,18501,LACKAWANNA,(570) 348-7100,Acute Care Hospitals,Proprietary,Yes
Milton S Hershey Medical Center,390256,,500 UNIVERSITY DRIVE,HERSHEY,PA,17033,DAUPHIN,(717) 531-8521,Acute Care Hospitals,Voluntary non-profit - Private,No
St Mary Medical Center,390258,,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,BUCKS,(215) 750-2003,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Jefferson Hospital,390265,,565 COAL VALLEY ROAD,JEFFERSON HILLS,PA,15025,ALLEGHENY,(412) 469-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Grove City Medical Center,390266,,631 NORTH BROAD STREET EXT.,GROVE CITY,PA,16127,MERCER,(724) 450-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Forbes Hospital,390267,,2570 HAYMAKER ROAD,MONROEVILLE,PA,15146,ALLEGHENY,(412) 858-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Mount Nittany Medical Center,390268,,1800 EAST PARK AVE,STATE COLLEGE,PA,16803,CENTRE,(814) 231-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Geisinger Wyoming Valley Medical Center,390270,,1000 EAST MOUNTAIN BOULEVARD,WILKES BARRE,PA,18711,LUZERNE,(570) 826-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Valley Forge Medical Center And Hospital,390272,,1033 W GERMANTOWN PIKE,NORRISTOWN,PA,19401,MONTGOMERY,(215) 539-8500,Acute Care Hospitals,Proprietary,No
Eagleville Hospital,390278,,100 EAGLEVILLE RD,EAGLEVILLE,PA,19408,MONTGOMERY,(215) 539-6000,Acute Care Hospitals,Voluntary non-profit - Private,No
Hahnemann University Hospital,390290,,230 NORTH BROAD STREET,PHILADELPHIA,PA,19102,PHILADELPHIA,(215) 762-7000,Acute Care Hospitals,Proprietary,Yes
Barix Clinics Of Pennsylvania,390302,,280 MIDDLETOWN ROAD,LANGHORNE,PA,19047,BUCKS,(267) 572-3100,Acute Care Hospitals,Proprietary,No
Roxborough Memorial Hospital,390304,,5800 RIDGE AVE,PHILADELPHIA,PA,19128,PHILADELPHIA,(215) 483-9900,Acute Care Hospitals,Proprietary,Yes
Edgewood Surgical Hospital,390307,,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,PA,16154,MERCER,(724) 646-0400,Acute Care Hospitals,Physician,No
Cancer Treatment Centers Of America,390312,,1331 EAST WYOMING AVENUE,PHILADELPHIA,PA,19124,PHILADELPHIA,(215) 744-6728,Acute Care Hospitals,Voluntary non-profit - Private,No
Coordinated Health Orthopedic Hospital,390314,,2310 HIGHLAND AVENUE,BETHLEHEM,PA,18017,NORTHAMPTON,(610) 691-4300,Acute Care Hospitals,Physician,No
Surgical Institute Of Reading,390316,,2752 CENTURY BOULEVARD,WYOMISSING,PA,19610,BERKS,(717) 999-9999,Acute Care Hospitals,Proprietary,No
Surgical Specialty Center At Coordinated Health,390321,,1503 CEDAR CREST BOULEVARD,ALLENTOWN,PA,18104,LEHIGH,(610) 871-9110,Acute Care Hospitals,Physician,No
Rothman Orthopaedic Specialty Hospital Llc,390322,,3300 TILLMAN DRIVE,BENSALEM,PA,19020,BUCKS,(215) 244-7400,Acute Care Hospitals,Proprietary,No
Advanced Surgical Hospital,390323,,100 TRICH DRIVE,WASHINGTON,PA,15301,WASHINGTON,(724) 884-0710,Acute Care Hospitals,Physician,No
Physician'S Care Surgical Hospital,390324,,454 ENTERPRISE DRIVE,ROYERSFORD,PA,19468,MONTGOMERY,(610) 495-4793,Acute Care Hospitals,Physician,No
Oss Orthopaedic Hospital,390325,,1861 POWDER MILL RD,YORK,PA,17402,YORK,(717) 718-2000,Acute Care Hospitals,Proprietary,No
St Luke'S Hospital - Anderson Campus,390326,,1872 ST LUKE'S BLVD,EASTON,PA,18045,NORTHAMPTON,(484) 503-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Wellspan Surgery And Rehabilitation Hospital,390327,,55 MONUMENT ROAD,YORK,PA,17403,YORK,(717) 812-6100,Acute Care Hospitals,Voluntary non-profit - Private,No
Upmc East,390328,,2775 MOSSIDE BOULEVARD,MONROEVILLE,PA,15146,ALLEGHENY,(412) 357-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Einstein Medical Center Montgomery,390329,,559 WEST GERMANTOWN PIKE,EAST NORRITON,PA,19403,MONTGOMERY,(484) 662-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
St Luke'S Hospital - Monroe Campus,390330,,100 ST LUKE'S LANE,STROUDSBURG,PA,18360,MONROE,(272) 212-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Wills Eye Hospital,390331,,840 WALNUT STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 440-3100,Acute Care Hospitals,Voluntary non-profit - Private,No
Geisinger Jersey Shore Hospital,391300,,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Upmc Susquehanna Muncy,391301,,215 EAST WATER STREET,MUNCY,PA,17756,LYCOMING,(570) 546-8282,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Conemaugh Meyersdale Medical Center,391302,,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,SOMERSET,(814) 634-5911,Critical Access Hospitals,Proprietary,Yes
Fulton County Medical Center,391303,,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,FULTON,(717) 485-3155,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Bucktail Medical Center,391304,,1001 PINE STREET,RENOVO,PA,17764,CLINTON,(570) 923-1000,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Troy Community Hospital,391305,,275 GUTHRIE DRIVE,TROY,PA,16947,BRADFORD,(570) 297-2121,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Endless Mountains Health Systems,391306,,100 HOSPITAL DRIVE,MONTROSE,PA,18801,SUSQUEHANNA,(570) 278-3801,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Tyrone Regional Health Network,391307,,187 HOSPITAL DRIVE,TYRONE,PA,16686,BLAIR,(814) 684-1255,Critical Access Hospitals,Voluntary non-profit - Private,Yes
Lecom Health Corry Memorial Hospital,391308,,965 SHAMROCK LANE,CORRY,PA,16407,ERIE,(814) 664-4641,Critical Access Hospitals,Government - Hospital District or Authority,Yes
